329;0;
5666;329;dia 1
7054;5995;dia 2
5883;13049;dia 3
1331;18932;dia 4
307;20263;dia 5
4110;20570;dia 6
3765;24680;dia 7
2785;28445;dia 8
3532;31230;dia 9
6243;34762;dia 10
2046;41005;dia 11
0;43051;dia 12
3892;43051;dia 13
284;46943;dia 14
3246;47227;dia 15
3862;50473;dia 16
2765;54335;dia 17
6608;57100;dia 18
0;63708;dia 19
2191;63708;dia 20
2626;65899;dia 21
6750;68525;dia 22
6686;75275;dia 23
6104;81961;dia 24
1223;88065;dia 25
0;89288;dia 26
1069;89288;dia 27
3689;90357;dia 28
2401;94046;dia 29
1935;96447;dia 30
1246;98382;dia 31
0;99628;dia 32
0;99628;dia 33
1058;99628;dia 34
798;100686;dia 35
564;101484;dia 36
1023;102048;dia 37
2530;103071;dia 38
763;105601;dia 39
0;106364;dia 40
1030;106364;dia 41
2933;107394;dia 42
3681;110327;dia 43
1838;114008;dia 44
3249;115846;dia 45
618;119095;dia 46
0;119713;dia 47
872;119713;dia 48
744;120585;dia 49
3208;121329;dia 50
3034;124537;dia 51
4841;127571;dia 52
1015;132412;dia 53
0;133427;dia 54
5849;133427;dia 55
2965;139276;dia 56
5598;142241;dia 57
2733;147839;dia 58
7079;150572;dia 59
1109;157651;dia 60
0;158760;dia 61
8216;158760;dia 62
4264;166976;dia 63
9940;171240;dia 64
4083;181180;dia 65
10661;185263;dia 66
5459;195924;dia 67
0;201383;dia 68
16320;201383;dia 69
14805;217703;dia 70
13707;232508;dia 71
14338;246215;dia 72
478;260553;dia 73
863;261031;dia 74
0;261894;dia 75
2686;261894;dia 76
8987;264580;dia 77
4519;273567;dia 78
11271;278086;dia 79
3690;289357;dia 80
6302;293047;dia 81
287;299349;dia 82
7938;299636;dia 83
3294;307574;dia 84
2296;310868;dia 85
2395;313164;dia 86
6417;315559;dia 87
3937;321976;dia 88
829;325913;dia 89
3012;326742;dia 90
;329754;dia 91
