;0
0.0006308136372579947;42
0.0009722987861318633;41
0.0015678672420211988;60
0.0016886604716195624;162
0.0024859722696015988;49
0.003424982030372632;87
0.004052690870811724;108
0.004396542075651626;169
0.0046048692897207285;38
0.004675566052350371;51
0.004878861375429936;12
0.005288684992604184;50
0.00533126988905797;11
0.00574364003009605;66
0.006272230132385326;5
0.006515410078352234;7
0.0068504124937402745;102
0.006911608449617443;14
0.0071448625515316685;92
0.007159798937876354;41
0.007180593791336969;58
0.0076152255623043175;27
0.0077967093503973975;83
0.007927448415577059;12
0.008488030153432894;14
0.0086673484073171;11
0.008966098369401106;26
0.009117978411155138;3
0.009403102679076451;42
0.009492270709005974;13
0.00976566051599233;20
0.009809238773349311;13
0.009942854889704257;18
0.009998055775100417;12
0.010153690566424364;11
0.01058141100992401;6
0.010652047563686332;14
0.010997101699156407;11
0.011156196086393835;54
0.01141996383093782;24
0.011904000505991295;8
0.011925749301189014;29
0.011927177374086068;30
0.012246705382009358;16
0.012276571354503227;28
0.012373433136000884;14
0.012409153271184213;19
0.012627491144827805;16
0.012792226980052364;25
0.012820748613925776;8
0.012901437045132764;12
0.012985272911159144;17
0.013018613353516902;70
0.013033677733142658;31
0.013034135043519234;24
0.013321200670223172;7
0.013565688808137607;11
0.013631815127032779;52
0.013767570270554468;43
0.01396871001255138;24
0.01397786681243411;40
0.014004030777666628;49
0.014321286806113465;43
0.014468730532903802;38
0.014689468106404924;60
0.014874262333762286;20
0.01489954759934534;10
0.014938334604059952;35
0.014993869094232998;11
0.015022901257725964;9
0.01533340767802132;8
0.0156923845752261;11
0.015708200590279407;11
0.015750585953032834;8
0.01624563314193657;10
0.01638619550231372;161
0.016601107649736036;4
0.016605308052939114;16
0.016662701382476296;20
0.016756249464530904;11
0.016806782735169033;9
0.017164174989420026;13
0.017215706288754237;6
0.01721611664970685;17
0.017344957501158356;11
0.017454442684853497;10
0.01759514984848554;25
0.01777815245238738;6
0.017860465691801896;11
0.017929804494862665;5
0.01824160899293189;1
0.018607613215407305;6
0.01876700167195479;21
0.01877847978204131;10
0.018948309981161614;11
0.019097447455750854;14
0.019120611750940552;9
0.01928638638446459;15
0.019329106690008695;18
0.019607233770862514;13
0.019682005551200397;46
0.019811848190156495;9
0.019845190788032097;44
0.020610685919264515;8
0.021182768530081532;8
0.021208454389115543;14
0.021377354861807446;11
0.021499923037989005;10
0.021672920726615277;4
0.021717425984272436;8
0.022124980817662634;15
0.022319607989105743;2
0.022388126331229954;15
0.02258940559958074;23
0.02262564374840289;36
0.022868996899066157;10
0.02294346097239694;7
0.02299489061576814;15
0.023025629595749268;7
0.0230939917665425;8
0.023372008342496923;7
0.02390929106061372;15
0.02410149267411833;18
0.02421564327292004;25
0.024632373785217737;9
0.024865619044772535;20
0.024962355329472;16
0.025271192429211994;25
0.02543920888978329;33
0.025881643236130725;15
0.02607715184721003;8
0.026213316726003057;24
0.026214477579895444;11
0.02623649030311398;13
0.02624564665514221;6
0.026277775403794217;5
0.026329200359104438;5
0.026702816280003584;9
0.02882979301353436;9
0.02896857609170964;10
0.02928946595380028;12
0.029655620788155382;11
0.03067777219707683;12
0.03094372878849479;20
0.031088532797373048;21
0.03200087881899979;20
0.032507540478577866;11
0.03319968363769163;23
0.034290067584537065;21
0.03487163216514752;12
0.03501570249751302;18
0.035179396561546686;21
0.03558815481011831;8
0.03608583871820819;12
0.03762240038699645;8
0.04031339027897697;7
0.04043011746065457;11
